회사,사업자등록번호,업종,사원수(명),매출규모(억),주소(도로명 주소),웹사이트 주소,기업소개 및 기업규모,담당업무,지원요건,채용인원,제출서류,서류제출 마감일,기타

메타지, 590-81-02102, 응용소프트웨어 개발 및 공급업, 16, 3.8," 서울시 강남구 봉은사로44길 50, 401호"," <a href=""http//www.meta-z.io"" target=""_blank"">www.meta-z.io</a>", 메일로 전송, 게임 클라이언트 개발자 / 게임 3D 아티스트, Unity3D 개발 경험 / Blender 사용 경험1,개발 분야 1명 / 디자인 분야 1명1," 이력서(필수), 포트폴리오(선택)1", 12.51,"복리후생 • 영어이름 사용 • 자율 출퇴근 및 재택근무 • 스톡옵션 제공 • 무제한 도서 구입 • 장비지원 (노트북, 모니터) • 헬스비 지원 • 4대보험, 퇴직금 • 경조사 휴가 및 비용 지원 • 리프레시 휴가 및 비용지원 • NFT 투자지원금 • 무제한 식대 • 야근시 저녁식사 및 택시비 지원"
(주) 시솔지주, 220-88-62200, 시스템응용SW개발및공급, 15, 6, 경기도 성남시 수정구 달래내로 46 (성남글로벌융합센터) A802호," <a href=""https//sisoul.co.kr"" target=""_blank"">https//sisoul.co.kr</a>"," 중소기업, 벤처 인증 기업, 기업부설 연구소"," 안드로이드 App 개발(Kotlin) / 공공기관 프로젝트 레거시 코드 분석 후 개발 및 보완, 새 프로젝트 UI &amp; 기능 개발","공통 - Git, Jira / 안드로이드 - Kotlin, 안드로이드 스튜디오 사용경험 / 프론트엔드 - html, css, JavaScript, TypeScript 개발 경험,React 사용 경험1","안드로이드 - 1명, 프론트엔드 - 1명1"," 이력서, 자기소개서, 포트폴리오1","서류제출 12.5(월)11시, 202215.식비 별도 지급 아침 식사 및 간식 제공"
 119-86-42991, 소프트웨어개발, 50, 70," 서울시 서초구 서초대로74길 45, 12,13층 (서초동, 엔데버타워)"," <a href=""http//www.matholic.com"" target=""_blank"">www.matholic.com</a>","매쓰홀릭(<a href=""http//www.matholic.com"" target=""_blank"">www.matholic.com</a>)은 2011년에 출발한 에듀테크 기업입니다. AI 수학학습 도구인 '매쓰홀릭'을 서비스 중이며 탄탄한매출 기반을 가지고 있습니다. 매쓰홀릭은 수십억 개의 학습 데이터셋으로 학습자 모델링과 학습자 별 추천 학습 시스템을 더욱 고도화하여 학생들의 학습 부담을 경감시키고 성공 경험을 축적시켜 학생들이 성장하는데 기여하고 있습니다.","- React, Typescript 를 사용하여 REST API 를 연동해 동적인 웹프론트엔드 애플리케이션 개발합니다.- 단순 기능 구현이 아닌 사용자에게 친화적인 UI/UX를 고민하고디자인합니다.- 가벼운 실무 프로젝트에 함께 참여하여 개발 역량을 키워나갑니다.역량에 따라서 다양하고 심도 있는 주제의 개발에도 함께 하실 수있습니다.- 하나 이상의 프로그래밍언어를 잘 사용하실 수 있으신 분이면좋겠습니다.- 실무 개발 경험을 쌓고 꾸준히 개발 역량을 키워나가고 싶으신분 환영합니다.","- HTML, CSS, Javascript 에 대한 이해 - 기본적인 Javascript 프로그래밍 능력 - (우대) HTTP, REST API에 대한 이해 - (우대)React 개발 경험1",개발팀 2명1," 이력서, 자기소개서1"," 11.29 (화), 20221",식비 별도 지급  성과우수자 별도 인센티브 지급1,"복리후생 사내 간식대 운영, 운동실 운영, 업무시간 내 동료간 다양한 활동"
(주)와우솔루션, 206-86-01557, SW개발및공급, 9, 20, 서울시 강남구 삼성로96길6 LG트윈텔1차 1304호," <a href=""http//www.wowslt.com"" target=""_blank"">http//www.wowslt.com</a>"," 부동산신탁, 토목엔지니어링 에 ERP 시스템을 개발하고 유지보수하는 중소기업입니다.", 개발 및 유지보수," C# (WinForm기반의 자체 Framework 보유), Oracle1",개발 및 유지보수 분야 1명1, 자기소개서1,11.101,식비는 별도지급하지 않고 회사에서 실비로 정산합니다
㈜휴맥스홀딩스, 215-81-37923," 서비스업,부동산업", 56, 77, 경기도 성남시 분당구 황새울로 216 휴맥스빌리지," <a href=""https//www.humaxit.com/"" target=""_blank"">https//www.humaxit.com/</a> <a href=""https//holdings.humaxdigital.com/"" target=""_blank"">https//holdings.humaxdigital.com/</a>"," SW 개발 (REACT, Node.js. MySQL)", (학교에서 교육받은 언어기준) 개발 역량1,1~2명1," 이력서, 자기소개서, 성적표, 포트폴리오1"," 11.915.복리후생 교육지원, 실손보험(가족포함)"
리버밴스 주식회사, 838-88-01509, 정보통신업, 3, 1.21,"(본원) 광주광역시 북구 첨단과기로123(오룡동), 산학협력연구관307-308호 / (서울사무소) 서울특별시 강남구 강남대로94길 27-11, 503호"," <a href=""https//libervance.com/"" target=""_blank"">https//libervance.com/</a>","리버밴스(주)는 광주과학기술원(GIST)의 교원이 창업한 블록체인 및 인공지능 솔루션 제공 스타트업입니다. GIST의 우수한 석·박사급 연구인력과 개발인프라를 바탕으로 정부 및 비기술기업에 손쉬운 탈중앙 블록체인 지능 융합 토탈 솔루션을 제공하고 있습니다.본 기업은 2022년 TIPS(민간투자형기술창업지원) 지원기업에선정되었으며 한미상공회의소, GG56코리아 등 주요 기업들과양해각서를 체결하며 사업 저변을 확대하고 있습니다. 상세한 기업 정보(IR)는 이메일로 보내드리겠습니다.","- 프론트엔드 개발자  (React, Vue.js 등을 이용한 SPA개발, Javascript(React/React Native/Node.js) 개발, Git을 활용한버전관리, 상용 서비스 출시)- 블록체인/백엔드 개발자  (리버밴스메인넷, dApp, 스마트 컨트랙트개발 / 신사업 DeFi/NFT 서비스 개발 / DAO 구조또는 거버넌스 설계 / 리버밴스 메인넷 플랫폼 구축 및 관리 /AWS 활용 서버 구축 / 리버밴스 프로젝트 미디어 서비스 개발 /프로젝트의 인프라 유지 관리 및 고도화)","컴퓨터 사이언스, 네트워킹, 머신러닝, 지능형 센서에 대한 기본지식 혹은 배우고자 하는 열의를 갖춘 분, Python, Java, C++,Web, App, API 프로그래밍, 딥러닝, 자연어처리, TCP/IP 등에 대한 기본 지식 혹은 배우고자 하는 열의를 갖춘 분, 블록체인 분야에 관심있는 분1",각 0명1," 이력서, 자기소개서(SW역량중심), 기타 프로젝트 진행 경험증빙등1", 11.81,"복리후생업무 효율을 극대화 할 수 있는 고급 업무장비 지원, 툴 지원Slack, Google One 사용 중 (추가 업무 툴 적극 지원), 자기계발을 위한 도서, 컨퍼런스, 세미나 참여 지원, 유연한 근무시간 (원하는 시간에 8시간/일 근무), 자유로운 복장 근무, 자유로운 연차/반차 사용, 자유로운 점심시간-회식 강요 없음 (점심회식 추구),야근없는 회사, 다과 제공, 4대보험 제공, 건강검진 지원, 우수 인력에 경쟁력 있는 연봉 지급"
주식회사 다다익스, 598-88-02013, 정보통신업, 3, 2," 서울 구로구 디지털로30길 28, 마리오타워 803호"," <a href=""https//ddwings-guide.oopy.io"" target=""_blank"">https//ddwings-guide.oopy.io</a>"," 지역기반 4륜차 라스트마일 배송 플랫폼 서비스를 제공하는 회사입니다.(중소기업, 벤처기업 인증)","총 3개의 직군의 업무 담당자가 필요합니다.(back-end, frontꠓend, design)주요업무  다다익스 서비스의 개발 및 유지보수에 참여합니다.개발 필수 언어  javascript우대사항  ",Back-end- Node.js- MySQL DB - Nest.js,"Front-end- React, Vue, Angular 등의 프레임워크 개발 경험- 고객의 관점에서 생각하고 이를 제품에 반영하려는 태도를 가지신 분",Design- Figma- Adobe Tool- 고객의 관점에서 생각하고 이를 제품에 반영하려는 태도를 가지신 분1,"3개의 직군별 1명, 총 3명1"," 이력서, 포트폴리오1"
(주) 티에스웨이, 119-86-11805, S/W 개발, 25, 25, 경기도 의왕시 이미로 40 인덕원IT밸리 C동 302호," <a href=""http//www.tsway.co.kr"" target=""_blank"">www.tsway.co.kr</a>"," 소프트웨어 개발 (공기업,금용건) 및 유지보수(한국도로공사,한국 부동산원, 산림과학원)"," JAVA,Oracle,Linux1",소트웨어개발(2)1," 이력서,자기소개서1", 11.3(목)1,식비 별도 지급  년 1회 건강검진교육비 지원
(주)엠온아이앤씨, 686-87-01745, IT서비스, 8, 8, 서울시 금천구 두산로 70 현대지식산업센터 A1112," <a href=""http//www.m-on.co.kr"" target=""_blank"">www.m-on.co.kr</a>","비대면 협업 솔루션인 MS팀즈(Teams) 사용 문의 응대, Microsoft365(Office 365) 사용 문의 응대, 그룹사 임직원들에 대한 마이크로소프트 제품의 IT헬프데스크입니다.", 컴퓨터에 관심1,2명1," 이력서, 자기소개서1"," 11.4, 2022"
